"TIV of arms exports to all, 1950-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 16 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
,Uruguay,68,3,47,3,0,2,30,17,3,0,17,1,100,0,2,8,6,,10,8,11,16,24,6,5,3,53,2,8,9,21,100,15,17,,8,,,16,41,41,70,19,18,10,9,4,19,19,9,4,,11,,,20,8,3,78,29,26,,,7,9,1096
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,,,,,,18
,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Venezuela,61,,20,210,195,30,409,285,122,9,50,,26,31,9,,40,236,20,7,11,130,169,399,254,217,176,221,59,20,352,892,681,242,241,517,116,46,101,118,172,310,65,39,1,5,35,37,19,85,110,105,50,15,9,20,380,785,743,358,208,594,680,1165,207,12920
,Viet Cong (South Vietnam)*,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
,Viet Minh (France)*,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Viet Nam,,,,,10,32,22,72,43,19,64,101,42,97,259,563,993,1039,1140,862,1177,1231,1363,783,369,310,42,42,577,1607,1023,1084,529,913,554,28,78,45,60,128,116,,,,,281,212,110,220,163,7,85,66,28,304,297,41,7,172,61,152,1023,733,487,1058,22922
,Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,25,,7,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,37
,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,113,,,4,171,,,1,50,158,85,593,62,254,317,38,66,40,5,256,45,38,23,6,2401
,Yugoslavia,,182,490,525,534,334,322,366,112,180,259,178,400,627,463,549,544,693,681,586,554,486,328,163,156,565,526,591,397,760,492,440,631,576,289,354,343,328,712,331,280,124,2,,,,,,,,,,,,,,,,,,,,,,,17454
,Zambia,,,,,,,,,,,,,,,7,16,17,,,7,4,166,29,19,9,48,109,34,42,4,136,216,48,13,18,,,,,,,,,,,,8,,,,33,,2,,,0,30,5,2,,,1,66,,,1085
,ZAPU (Zimbabwe)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Zimbabwe,1,11,2,8,36,27,8,,61,,15,,16,20,,,,16,,,,2,11,0,2,26,16,4,13,,,15,88,34,26,28,212,29,2,,2,37,62,0,,,,,1,25,3,10,,16,,25,25,,,,,,,,,933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,8371,12071,16408,22397,20948,19772,24212,22982,25729,21361,17689,16331,17680,20096,26384,24980,24946,25095,25262,28214,25777,32554,34112,34754,35164,36996,34991,40117,43336,38308,41809,45029,45798,43956,41562,38678,39152,39726,37003,35523,30047,28267,24166,25922,22806,22880,23894,28937,27859,25268,19440,18995,17809,19295,21492,21582,24679,26519,24207,24308,25631,30108,28902,27916,28308,1804510
